question,category,answer
paani kahan se milay ga,water,School ke pass water filter plant hai
paani peene ka time kya hai,water,Recess mein paani pi sakte ho
bottle bharni ho to kahan jaayen,water,Class ke bahar cooler laga hai
paani saaf hai ya nahi,water,Haan paani RO filter se saaf kiya jata hai
paani ki bottle laana zaroori hai kya,water,Ji han apni bottle sath laayen
agar paani khatam ho jaye to kya karen,water,Office se refill karwa sakte ho
cooler kharab ho to kise batayen,water,Chowkidar ya class teacher ko batao
thanda paani milta hai kya,water,Ji han cooler mein thanda paani hota hai
washroom ke pass paani ka nal hai kya,water,Ji han har washroom ke bahar nal laga hai
paani filter kitni dair mein saaf hota hai,water,Filter roz saaf kiya jata hai
kya paani free milta hai,water,Ji han paani bilkul free hai
summer mein extra paani milta hai kya,water,Garmi mein extra cooler laga diye jate hain
fees kab tak jama karni hai,fees,Har month ki das tareekh tak fees jama karni hai
late fees pay karne pe fine lagta hai kya,fees,Ji han das tareekh ke baad fine lagta hai
fees online pay ho sakti hai kya,fees,Ji han bank app se bhi pay kar sakte ho
fees kitni hai is class ki,fees,Class ki fees office se pata chalegi
scholarship milti hai kya,fees,Achay number laane walon ko scholarship milti hai
fees receipt kahan se milegi,fees,Office se receipt collect kar sakte ho
fees na dene par kya hoga,fees,Naam list se hata diya jayega
installment mein fees de sakte hain kya,fees,Ji han principal se baat karke installment ho sakti hai
admission fees alag hoti hai kya,fees,Ji han admission fees ek dafa lagti hai
exam fees kab jama honi hai,fees,Exam se do hafte pehle exam fees jama karni hai
fees miss ho jaye to kya karen,fees,Office jaake fine ke sath jama karwa do
sibling discount milta hai kya,fees,Ji han do bhai behan par discount milta hai
aaj ka homework kya hai,homework,Aaj ka homework diary mein likha hai
homework late submit kar sakte hain kya,homework,Ji han lekin marks kat jate hain
homework na kiya to kya hoga,homework,Teacher warning degi aur parents ko inform karegi
homework online submit karna hai kya,homework,Ji han app par upload karna hai
homework kitna time leta hai,homework,Rozana takreeban ek ghanta lagta hai
homework check kaun karta hai,homework,Subject teacher homework check karti hai
group homework allowed hai kya,homework,Ji han lekin har student ka naam likhna zaroori hai
homework copy se copy kar sakte hain kya,homework,Nahi khud se karna zaroori hai
weekend par homework milta hai kya,homework,Ji han thora sa homework milta hai
homework diary kho jaye to kya karen,homework,Class fellow se likh lo aur teacher ko batao
extra homework mil sakta hai kya practice ke liye,homework,Ji han teacher se request kar sakte ho
homework submit karne ki last date kya hai,homework,Agle din subah tak submit karna hota hai
copies kahan se milengi,supplies,School shop se copies mil jaati hain
kitaben kahan se milengi,supplies,Book shop se ya school se kitaben mil jaati hain
calculator lana zaroori hai kya,supplies,Ji han math class ke liye calculator lao
geometry box zaroori hai kya,supplies,Ji han exam mein geometry box chahiye hota hai
purani kitaben mil sakti hain kya,supplies,Senior students se purani kitaben mil sakti hain
pencil khatam ho jaye to kya karen,supplies,School shop se naya le sakte ho
bag kaisa hona chahiye,supplies,Koi bhi mazboot bag chalega
art supplies school deta hai kya,supplies,Nahi khud lana parta hai
notebook ka size fix hai kya,supplies,Ji han A4 size wali notebook chahiye
sharpener aur eraser zaroori hai kya,supplies,Ji han daily use ke liye zaroori hai
graph paper kahan se milega,supplies,Stationery shop se graph paper mil jayega
id card kho jaye to naya kahan se banega,supplies,Office se naya id card ban sakta hai
tabiyat kharab ho to kise batayen,health,Class teacher ko foran batao
school mein doctor hota hai kya,health,Ji han school nurse available hoti hai
first aid kit kahan hai,health,Office mein first aid kit rakha hai
bukhar ho to school aana chahiye kya,health,Nahi ghar par rest karo aur application bhejo
medicine school mein milti hai kya,health,Sirf emergency ke liye basic medicine milti hai
checkup hota hai kya school mein,health,Ji han saal mein ek dafa medical checkup hota hai
allergy ho to kise inform karen,health,Class teacher aur nurse ko pehle hi batao
accident ho jaye to kya karen,health,Foran office aur nurse ko inform karo
sick leave kaise le sakte hain,health,Parents application likh kar bhej sakte hain
covid jaisi bimari ho to kya karna hai,health,Ghar par rest karo aur school ko inform karo
eye checkup hota hai kya,health,Ji han saal mein ek dafa eye checkup bhi hota hai
mental health ke liye counselor hai kya,health,Ji han school counselor se mil sakte ho
school kis time shuru hota hai,timing,School subah aath baje shuru hota hai
chutti kis time hoti hai,timing,School dopeher do baje chutti karta hai
recess kitni dair ka hota hai,timing,Recess tees minute ka hota hai
late aane par kya hota hai,timing,Late aane par gate se entry nahi milti
Friday ko time change hota hai kya,timing,Ji han Friday ko jald chutti hoti hai
exam ke din timing alag hoti hai kya,timing,Ji han exam ke din school jald shuru hota hai
winter mein timing change hoti hai kya,timing,Ji han winter mein school thora late shuru hota hai
assembly kis time hoti hai,timing,Assembly subah aath baje hoti hai
gate kis time band hota hai,timing,Gate subah sawa aath baje band ho jata hai
Saturday ko school hota hai kya,timing,Nahi Saturday ko chutti hoti hai
half day kab hota hai,timing,Half day sirf special occasions par hota hai
break kitni martaba milta hai,timing,Din mein sirf ek recess milta hai
exam ka schedule kahan milega,exam,Notice board par schedule laga hota hai
exam ke liye syllabus kya hai,exam,Teacher ne last class mein syllabus bata diya tha
exam mein calculator allowed hai kya,exam,Ji han math exam mein allowed hai
exam miss ho jaye to kya karen,exam,Principal office jaake application do
exam result kab aayega,exam,Result aam tor par do hafte baad aata hai
exam mein negative marking hai kya,exam,Nahi is exam mein negative marking nahi hai
exam paper dubara check ho sakta hai kya,exam,Ji han rechecking ke liye application de sakte ho
exam ke liye admit card zaroori hai kya,exam,Ji han admit card ke bagair exam nahi de sakte
exam kitne ghante ka hota hai,exam,Aam tor par exam teen ghante ka hota hai
supplementary exam hota hai kya,exam,Ji han fail hone walon ke liye supplementary hota hai
exam center change ho sakta hai kya,exam,Sirf special case mein change hota hai
exam se pehle revision classes hoti hain kya,exam,Ji han exam se hafta pehle revision classes hoti hain
attendance kitni percent chahiye,attendance,Kam az kam pachattar percent attendance chahiye
attendance kam ho to kya hota hai,attendance,Exam mein baithne nahi diya jata
attendance kaise check kar sakte hain,attendance,App par apni attendance dekh sakte ho
medical leave attendance mein count hoti hai kya,attendance,Ji han application ke sath count hoti hai
late aane par attendance lagti hai kya,attendance,Ji han lekin late mark hoti hai
attendance galat lagi ho to kya karen,attendance,Class teacher ko batao woh correct kar degi
half day attendance kaise lagti hai,attendance,Half day ko half attendance count hoti hai
attendance roz li jaati hai kya,attendance,Ji han har period mein attendance hoti hai
attendance shortage ho to kya option hai,attendance,Principal se special permission le sakte ho
online class attendance count hoti hai kya,attendance,Ji han online class mein bhi attendance lagti hai
attendance certificate mil sakta hai kya,attendance,Ji han office se attendance certificate mil sakta hai
sports event attendance mein aata hai kya,attendance,Ji han school event mein attendance count hoti hai
school van kahan se milegi,transport,School office se van book karwa sakte ho
van ka time kya hai,transport,Van subah saat baje pick karti hai
van fees alag hoti hai kya,transport,Ji han van fees monthly alag jama honi hai
van miss ho jaye to kya karen,transport,Van office ko foran call karo
van route change ho sakta hai kya,transport,Ji han office se request kar sakte ho
van mein seat fix hoti hai kya,transport,Ji han har student ki seat fix hoti hai
parking area kahan hai,transport,School ke samne parking area hai
van driver ka number mil sakta hai kya,transport,Ji han office se number le sakte ho
rain mein van late hoti hai kya,transport,Ji han barish mein thori dair ho sakti hai
bike se school aa sakte hain kya,transport,Senior students ko permission se ijazat hai
van mein AC hai kya,transport,Ji han kuch vans mein AC available hai
van ka rasta change karwana ho to kya karen,transport,Transport office mein application do
uniform kahan se milega,uniform,School ke designated shop se uniform milta hai
uniform ka color kya hai,uniform,Uniform white aur navy blue hai
sports day uniform alag hai kya,uniform,Ji han sports day par tracksuit pehnte hain
uniform ganda ho to kya karen,uniform,Doosra clean uniform pehn ke aao
winter uniform kab se lagta hai,uniform,November se winter uniform shuru hota hai
uniform na pehnne par kya hota hai,uniform,Warning milti hai aur parents ko inform hota hai
shoes ka color fix hai kya,uniform,Ji han black shoes hi allowed hain
badge lagana zaroori hai kya,uniform,Ji han school badge lagana zaroori hai
uniform size change karwana ho to kya karen,uniform,Shop se exchange karwa sakte ho
tie hamesha lagani hoti hai kya,uniform,Ji han daily tie lagani zaroori hai
uniform price kya hai,uniform,Uniform price shop se pata chal jayegi
old uniform second hand mil sakta hai kya,uniform,Ji han senior students se mil sakta hai
